file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.150000,0 days 00:00:00.170000,0.03349394,-4.2245545,12.737193,0.034757722,0.01726833,0.002792272,27.456642,-22.909475,28.773071,-3.5581703,0.0,0.0,0.0,0.0,0.0,0.0,665.3831,1335.9147,-201.0,1549.9459,1326.0027,-201.0,2478.2239,1036.1202,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.160000,0 days 00:00:00.180000,0.03481933,-4.377093,12.005302,0.04239585,0.02124845,0.002642323,28.588781,-23.16027,28.555601,-4.0537972,0.0,0.0,0.0,0.0,0.0,0.0,674.375,1250.7577,-201.0,1671.1581,1111.8788,-201.0,2682.077,1146.2921,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.170000,0 days 00:00:00.190000,0.036803924,-5.108143,12.849213,0.05608787,0.019056115,0.0029468194,29.624945,-23.110205,26.273584,-7.323887,0.0,0.0,0.0,0.0,0.0,0.0,612.2465,1249.0143,-201.0,1620.544,1059.8486,-201.0,2513.7317,1223.1477,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.180000,0 days 00:00:00.200000,0.03873163,-4.6110115,11.637154,0.04891968,0.02544202,0.0033950272,30.951498,-24.639185,25.90476,-6.637607,0.0,0.0,0.0,0.0,0.0,0.0,790.94,1163.6715,-201.0,1807.8334,1090.728,-201.0,2613.8323,1341.4497,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.190000,0 days 00:00:00.210000,0.040281612,-3.9523134,10.747994,0.045939434,0.022940025,0.003499685,31.270979,-26.947187,23.565516,-6.6215568,0.0,0.0,0.0,0.0,0.0,0.0,896.16797,1166.0245,-201.0,1844.6582,1120.3256,-201.0,2608.9329,1094.411,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.200000,0 days 00:00:00.220000,0.034630146,-1.9705758,6.13114,0.044546116,0.019189006,0.003189723,27.6662,-26.875101,23.02075,-6.891861,0.0,0.0,0.0,0.0,0.0,0.0,894.209,1265.3715,-201.0,1828.4491,1137.0356,-201.0,2626.37,1117.6661,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.210000,0 days 00:00:00.230000,0.039842814,3.4240627,3.4439523,0.0519312,0.025031611,0.0037553336,21.173222,-33.234856,20.645779,-4.6187387,0.0,0.0,0.0,0.0,0.0,0.0,892.07294,1379.2672,-201.0,1759.4935,1294.9482,-201.0,2584.095,1024.9058,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.220000,0 days 00:00:00.240000,0.08334743,10.079656,2.6275337,0.061205555,0.03593835,0.01591248,17.17203,-50.40866,22.123444,-7.6108646,0.0,0.0,0.0,0.0,0.0,0.0,978.2979,1449.4442,-201.0,1815.773,1384.3947,-201.0,2680.2483,1116.754,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.230000,0 days 00:00:00.250000,0.100216635,15.292434,6.4242187,0.054009914,0.051673383,0.025969086,14.764123,-59.22336,16.870947,-2.853709,0.0,0.0,0.0,0.0,0.0,0.0,1003.39435,1483.9935,-201.0,1852.2633,1422.2324,-201.0,2743.2598,1102.3207,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.240000,0 days 00:00:00.260000,0.13541305,13.81046,11.016791,0.07215669,0.04515246,0.037868712,24.704245,-65.451935,13.111102,-7.7015634,0.0,0.0,0.0,0.0,0.0,0.0,1034.2021,1412.9865,-201.0,1917.6909,1363.2587,-201.0,2753.035,1403.315,-201.0
